Onnett_id;Osall_id;Henkilo_id;Osnro;Kulj_matk;Ikä;Sukupuoli;Kortti;Seuraus;Seuraussel;Kulj_kans;Ajokortlk;Ajokortikä
6660716;11595735;11430355;1;MA;27;M; ;0;ei henkilövahinkoa;SF ;            ;
6660716;11595735;11430356;1;MA;20;N; ;0;ei henkilövahinkoa;SF ;            ;
6660716;11595735;11430357;1;MA;30;M; ;0;ei henkilövahinkoa;SF ;            ;
6660716;11595735;11430358;1;KU;32;M; ;0;ei henkilövahinkoa;SF ;            ;
6655924;11595737;11430360;1;KU;24;M; ;0;ei henkilövahinkoa;SF ;BC          ;6
6655924;11595738;11430361;2;KU;43;M; ;0;ei henkilövahinkoa;SF ;ABC         ;25
6688534;11595744;11430367;1;KU;37;N; ;0;ei henkilövahinkoa;SF ;            ;19
6688534;11595745;11430368;2;KU;31;N; ;0;ei henkilövahinkoa;EV ;B           ;
6685673;11595746;11430369;1;KU;38;M; ;0;ei henkilövahinkoa;SF ;BCD         ;7
6685673;11595747;11430370;2;KU;43;N; ;0;ei henkilövahinkoa;SF ;AB          ;26
6711693;11595748;11430371;1;KU;29;M; ;0;ei henkilövahinkoa;BD ;B           ;1
6711693;11595749;11430372;2;KU;28;M; ;0;ei henkilövahinkoa;SF ;B           ;9
6685674;11595750;11430373;1;KU;20;M; ;0;ei henkilövahinkoa;SF ;B           ;2
6685674;11595751;11430374;2;JK;58;N; ;L;loukkaantunut;   ;            ;
6651493;11595754;11430377;1;KU;43;M; ;0;ei henkilövahinkoa;SF ;            ;25
6651493;11595755;11430378;2;JK;62;M; ;L;loukkaantunut;   ;            ;
6655925;11595756;11430379;1;XX;; ; ;-;NA;   ;            ;
6655925;11595757;11430380;2;XX;; ; ;-;NA;   ;            ;
6655925;11595758;11430381;3;XX;; ; ;-;NA;   ;            ;
6629502;11595762;11430385;1;KU;23;M; ;L;loukkaantunut;SF ;            ;5
6629502;11595763;11430386;2;KU;55;M; ;L;loukkaantunut;SF ;            ;28
6629502;11595763;11430387;2;MA;35;N; ;L;loukkaantunut;SF ;            ;
6629502;11595763;11430388;2;MA;57;N; ;L;loukkaantunut;SF ;            ;
6629502;11595763;11430389;2;MA;37;M; ;L;loukkaantunut;SF ;            ;
6629502;11595764;11430390;3;KU;51;N; ;L;loukkaantunut;SF ;            ;22
6621831;11595765;11430391;1;KU;18;M; ;0;ei henkilövahinkoa;SF ;B           ;
6621831;11595766;11430392;2;KU;56;M; ;0;ei henkilövahinkoa;SF ;ABE         ;39
6629671;11595767;11430393;1;KU;25;M; ;0;ei henkilövahinkoa;SF ;B           ;3
6578085;11591283;11430394;1;KU;27;M; ;0;ei henkilövahinkoa;SF ;BC          ;10
6578085;11591284;11430395;2;XX;; ; ;-;NA;   ;            ;
6660694;11591287;11430398;1;KU;50;M; ;0;ei henkilövahinkoa;SF ;            ;32
6660694;11591288;11430399;2;KU;53;N; ;L;loukkaantunut;SF ;            ;
6586177;11591289;11430667;1;KU;68;N; ;0;ei henkilövahinkoa;SF ;AB          ;45
6586177;11591290;11430668;2;KU;23;M; ;0;ei henkilövahinkoa;SF ;B           ;6
6586242;11591291;11430669;1;KU;40;M; ;0;ei henkilövahinkoa;WAN;B           ;
6586242;11591292;11430670;2;KU;85;M; ;0;ei henkilövahinkoa;SF ;AB          ;44
6518504;11591294;11430672;1;KU;30;M; ;0;ei henkilövahinkoa;TR ;B           ;
6518504;11591294;11430673;1;MA;53;N; ;0;ei henkilövahinkoa;TR ;            ;
6518504;11591295;11430674;2;KU;25;M; ;0;ei henkilövahinkoa;SF ;BC          ;7
6518504;11591295;11430675;2;MA;23;M; ;0;ei henkilövahinkoa;SF ;            ;
6660695;11591296;11430676;1;XX;; ; ;-;NA;   ;            ;
6660695;11591297;11430677;2;XX;; ; ;-;NA;   ;            ;
6494521;11591299;11430679;1;XX;; ; ;-;NA;   ;            ;
6494521;11591300;11430680;2;XX;; ; ;-;NA;   ;            ;
6660697;11591306;11430686;1;XX;; ; ;-;NA;   ;            ;
6660697;11591307;11430687;2;XX;; ; ;-;NA;   ;            ;
6485199;11591316;11430697;1;KU;41;M; ;0;ei henkilövahinkoa;SF ;B           ;4
6485199;11591317;11430698;2;KU;36;M; ;0;ei henkilövahinkoa;IND;B           ;
6575513;11591318;11430699;1;XX;; ; ;-;NA;   ;            ;
6481034;11591326;11430707;1;KU;40;N; ;0;ei henkilövahinkoa;SF ;BC          ;23
6518497;11591327;11430708;1;XX;; ; ;-;NA;   ;            ;
6485705;11591328;11430709;1;KU;28;M; ;0;ei henkilövahinkoa;EV ;            ;
6485705;11591329;11430710;2;KU;35;M; ;0;ei henkilövahinkoa;PL ;            ;
6520847;11591334;11430715;1;KU;18;M;X;0;ei henkilövahinkoa;SF ;B           ;
6520847;11591335;11430716;2;KU;50;N; ;0;ei henkilövahinkoa;SF ;ABE         ;32
6469145;11591336;11430717;1;XX;; ; ;-;NA;   ;            ;
6469145;11591337;11430718;2;KU;24;N; ;0;ei henkilövahinkoa;SF ;            ;6
6575514;11591343;11430725;1;KU;43;N; ;0;ei henkilövahinkoa;SF ;AB          ;25
6575514;11591344;11430726;2;KU;43;M; ;0;ei henkilövahinkoa;SF ;B           ;12
6578069;11591345;11430727;2;XX;; ; ;-;NA;   ;            ;
6575515;11591348;11430730;1;KU;31;M; ;0;ei henkilövahinkoa;EV ;B           ;1
6575515;11591349;11430731;2;KU;44;M; ;0;ei henkilövahinkoa;SF ;BECD        ;19
6494517;11591350;11430732;1;KU;47;M; ;0;ei henkilövahinkoa;SF ;ABE         ;29
6494517;11591351;11430733;2;KU;37;N; ;0;ei henkilövahinkoa;EV ;B           ;2
6575496;11591352;11430734;1;KU;45;N; ;0;ei henkilövahinkoa;SF ;AB          ;28
6575496;11591353;11430735;2;KU;41;M; ;0;ei henkilövahinkoa;SVK;B           ;
6621800;11587108;11430737;2;JK;27;N; ;L;loukkaantunut;   ;            ;
6621800;11591354;11430736;1;KU;61;M; ;0;ei henkilövahinkoa;SF ;AB          ;43
6629588;11587119;11430748;1;KU;44;M; ;0;ei henkilövahinkoa;SF ;ABEC        ;26
6629588;11587120;11430749;2;KU;23;M; ;0;ei henkilövahinkoa;IRQ;B           ;3
6611818;11587125;11430754;1;KU;31;M; ;0;ei henkilövahinkoa;SF ;BC          ;13
6611818;11587126;11430755;2;KU;28;M; ;0;ei henkilövahinkoa;SF ;B           ;9
6621801;11587127;11431023;1;KU;34;N; ;0;ei henkilövahinkoa;   ;            ;
6621801;11587128;11431024;2;JK;24;N; ;L;loukkaantunut;SF ;            ;
6621802;11587133;11431029;1;KU;49;M; ;0;ei henkilövahinkoa;SF ;ABECEDE     ;31
6621802;11587134;11431030;2;XX;; ; ;-;NA;   ;            ;
6621802;11587135;11431031;3;XX;; ; ;-;NA;   ;            ;
6621803;11587138;11431034;1;KU;40;N; ;0;ei henkilövahinkoa;SF ;            ;22
6621803;11587139;11431035;2;KU;21;M; ;0;ei henkilövahinkoa;SF ;            ;4
6621803;11587140;11431036;3;KU;32;N; ;0;ei henkilövahinkoa;SF ;B           ;14
6680402;11587141;11431037;1;KU;23;M; ;0;ei henkilövahinkoa;SF ;            ;5
6680402;11587142;11431038;2;KU;; ; ;0;ei henkilövahinkoa;   ;            ;
6655994;11587143;11431039;1;KU;53;M; ;0;ei henkilövahinkoa;SF ;ABEC        ;35
6629800;11587144;11431040;1;KU;21;N; ;0;ei henkilövahinkoa;SF ;B           ;
6629800;11587145;11431041;2;KU;39;M; ;0;ei henkilövahinkoa;SF ;ABEC        ;22
6629800;11587145;11431042;2;MA;29;N; ;0;ei henkilövahinkoa;SF ;            ;
6629800;11587146;11431043;3;KU;33;M; ;0;ei henkilövahinkoa;YU ;B           ;8
6688571;11587147;11431044;1;XX;; ; ;-;NA;   ;            ;
6688571;11587148;11431045;2;XX;; ; ;-;NA;   ;            ;
6626252;11587151;11431048;1;KU;62;M; ;0;ei henkilövahinkoa;SF ;AB          ;28
6626252;11587152;11431049;2;KU;57;N; ;0;ei henkilövahinkoa;SF ;AB          ;37
6611890;11587157;11431054;1;MA;20;M; ;K;kuollut;SF ;            ;
6611890;11587157;11431055;1;KU;18;M; ;L;loukkaantunut;SF ;            ;0
6633304;11587158;11431056;1;KU;40;N; ;0;ei henkilövahinkoa;SF ;B           ;21
6633304;11587159;11431057;2;KU;51;M; ;0;ei henkilövahinkoa;SF ;BE          ;23
6633304;11587160;11431058;3;KU;30;N; ;0;ei henkilövahinkoa;EV ;B           ;4
6575505;11587162;11431060;1;KU;30;M; ;0;ei henkilövahinkoa;SF ;B           ;11
6575505;11587163;11431061;2;KU;28;N; ;0;ei henkilövahinkoa;SF ;B           ;10
6575506;11587164;11431062;1;KU;32;M; ;0;ei henkilövahinkoa;AA ;BC          ;5
6575506;11587165;11431063;2;XX;; ; ;-;NA;   ;            ;
6620537;11587169;11431068;1;XX;; ; ;-;NA;   ;            ;
6620537;11587170;11431069;2;XX;; ; ;-;NA;   ;            ;
6620538;11587171;11431070;1;KU;18;N; ;0;ei henkilövahinkoa;SF ;B           ;
6620538;11587172;11431071;2;XX;; ; ;-;NA;   ;            ;
6620538;11587173;11431072;3;XX;; ; ;-;NA;   ;            ;
6620539;11587174;11431073;1;KU;22;M;X;0;ei henkilövahinkoa;SYR;B           ;2
6620540;11587175;11431074;1;KU;63;N; ;0;ei henkilövahinkoa;SF ;AB          ;45
6620540;11587176;11431075;2;KU;50;M; ;0;ei henkilövahinkoa;SF ;ABE         ;32
6621910;11587177;11431076;1;KU;46;M; ;0;ei henkilövahinkoa;   ;            ;28
6621910;11587178;11431077;2;JK;20;N; ;L;loukkaantunut;   ;            ;
6621910;11587392;11431078;3;JK;22;M; ;0;ei henkilövahinkoa;   ;            ;
6542873;11587405;11431092;1;KU;24;M; ;0;ei henkilövahinkoa;SF ;B           ;6
6542873;11587406;11431093;2;KU;64;M; ;0;ei henkilövahinkoa;SF ;ABE         ;46
6523740;11587407;11431094;1;KU;30;M; ;0;ei henkilövahinkoa;SF ;B           ;11
6620541;11587410;11431097;1;KU;20;M;X;0;ei henkilövahinkoa;   ;B           ;
6620541;11587411;11431098;2;JK;6;M; ;K;kuollut;   ;            ;
6575507;11587412;11431099;1;XX;; ; ;-;NA;   ;            ;
6575507;11587413;11431100;2;XX;; ; ;-;NA;   ;            ;
6575508;11587414;11431101;1;XX;; ; ;-;NA;   ;            ;
6575508;11587415;11431102;2;XX;; ; ;-;NA;   ;            ;
6550075;11587416;11431103;1;KU;22;N; ;0;ei henkilövahinkoa;SF ;B           ;5
6480093;11587419;11431106;1;KU;34;M; ;0;ei henkilövahinkoa;TR ;B           ;2
6485192;11587420;11431107;1;KU;45;M; ;0;ei henkilövahinkoa;GB ;BEC1ED1E    ;3
6485192;11587420;11431108;1;MA;64;N; ;L;loukkaantunut;GB ;            ;
6485193;11587423;11431111;1;KU;37;N; ;0;ei henkilövahinkoa;SF ;            ;19
6485193;11587423;11431378;1;KU;69;M; ;0;ei henkilövahinkoa;SF ;            ;
6485193;11587424;11431379;2;XX;; ; ;-;NA;   ;            ;
6485699;11587428;11431383;1;KU;33;M; ;0;ei henkilövahinkoa;SF ;ABC         ;15
6485699;11587429;11431384;2;KU;24;N; ;0;ei henkilövahinkoa;SF ;B           ;2
6484345;11587434;11431389;1;KU;58;M; ;0;ei henkilövahinkoa;SF ;ABCD        ;37
6484345;11587435;11431390;2;KU;39;M; ;0;ei henkilövahinkoa;SF ;BECD        ;1
6505349;11587440;11431397;1;KU;39;M; ;0;ei henkilövahinkoa;SF ;            ;9
6505349;11587441;11431398;2;KU;25;M; ;0;ei henkilövahinkoa;SF ;            ;7
6494509;11587443;11431400;1;KU;53;N; ;0;ei henkilövahinkoa;SF ;ABECD       ;6
6494509;11587444;11431401;2;KU;23;M; ;0;ei henkilövahinkoa;SF ;B           ;5
6494509;11587444;11431402;2;MA;;M; ;0;ei henkilövahinkoa;SF ;            ;
6712807;11587447;11431405;1;KU;37;N; ;0;ei henkilövahinkoa;EV ;B           ;
6712807;11587448;11431406;2;KU;59;M; ;0;ei henkilövahinkoa;SF ;ABECE       ;41
6544577;11587449;11431407;1;XX;; ; ;-;NA;   ;            ;
6485194;11587450;11431408;1;XX;; ; ;-;NA;   ;            ;
6621889;11587451;11431409;1;KU;52;M; ;0;ei henkilövahinkoa;SF ;            ;33
6621889;11587452;11431410;2;KU;31;M; ;L;loukkaantunut;SF ;            ;
6621890;11587453;11431411;1;KU;34;N; ;0;ei henkilövahinkoa;SF ;B           ;16
6656092;11587456;11431415;1;KU;57;M; ;0;ei henkilövahinkoa;SF ;ABE         ;39
6656092;11587457;11431416;2;KU;42;N; ;0;ei henkilövahinkoa;SF ;ABE         ;25
6656092;11587458;11431417;3;KU;54;M; ;0;ei henkilövahinkoa;EV ;ABECEDE     ;
6656074;11587461;11431423;1;KU;52;M; ;0;ei henkilövahinkoa;EV ;ABECEDE     ;
6656074;11587462;11431424;2;KU;20;M; ;0;ei henkilövahinkoa;SF ;A1B         ;2
6656074;11587462;11431425;2;MA;20;N; ;0;ei henkilövahinkoa;SF ;            ;
6620444;11587695;11431449;1;KU;18;M; ;0;ei henkilövahinkoa;SF ;BC          ;
6620444;11587696;11431450;2;KU;22;M; ;0;ei henkilövahinkoa;SF ;B           ;3
6651876;11587700;11431454;1;KU;23;M; ;0;ei henkilövahinkoa;SF ;B           ;5
6651876;11587701;11431455;2;KU;18;N; ;0;ei henkilövahinkoa;SF ;B           ;
6656075;11587703;11431457;1;JK;80;M; ;L;loukkaantunut;   ;            ;
6656075;11587704;11431458;2;KU;60;M; ;0;ei henkilövahinkoa;SF ;ABCD        ;13
6660611;11587707;11431461;1;KU;50;M; ;0;ei henkilövahinkoa;EV ;ABECE       ;
6660611;11587708;11431462;2;KU;67;M; ;0;ei henkilövahinkoa;EV ;BECEDE      ;
6485698;11587709;11431463;1;XX;; ; ;-;NA;   ;            ;
6664057;11587710;11431464;1;KU;34;M; ;0;ei henkilövahinkoa;SO ;B           ;4
6664057;11587711;11431465;2;KU;31;M; ;0;ei henkilövahinkoa;SF ;B           ;14
6621885;11587714;11431735;1;KU;45;M; ;0;ei henkilövahinkoa;SF ;            ;9
6621885;11587715;11431736;2;XX;; ; ;-;NA;   ;            ;
6620453;11587721;11431743;1;MA;41;M; ;L;loukkaantunut;SF ;            ;
6620453;11587721;11431744;1;KU;30;M; ;0;ei henkilövahinkoa;SO ;B           ;0
6620453;11587722;11431745;2;KU;41;M; ;0;ei henkilövahinkoa;SF ;B           ;23
6656088;11587723;11431746;1;MA;24;M; ;L;loukkaantunut;SF ;            ;
6656088;11587723;11431747;1;MA;27;N; ;L;loukkaantunut;SF ;            ;
6656088;11587723;11431748;1;KU;51;M; ;0;ei henkilövahinkoa;EV ;ABECE       ;
6660630;11587732;11431760;1;KU;84;M; ;0;ei henkilövahinkoa;SF ;ABE         ;43
6629506;11587733;11431761;1;KU;42;M; ;0;ei henkilövahinkoa;SF ;ABEC        ;24
6629506;11587734;11431762;3;KU;48;M; ;0;ei henkilövahinkoa;EV ;BC          ;
6660631;11587735;11431763;1;KU;55;M; ;0;ei henkilövahinkoa;IRQ;B           ;15
6660631;11587736;11431764;2;KU;50;M; ;0;ei henkilövahinkoa;SF ;ABECE       ;32
6656089;11587738;11431766;1;KU;59;M; ;0;ei henkilövahinkoa;SF ;ABE         ;42
6656089;11587739;11431767;2;XX;; ; ;-;NA;   ;            ;
6660597;11587740;11431768;1;XX;; ; ;-;NA;   ;            ;
6660597;11587741;11431769;2;KU;36;M; ;0;ei henkilövahinkoa;EV ;            ;
6660598;11587742;11431770;1;KU;68;M; ;0;ei henkilövahinkoa;SF ;ABECE       ;46
6660598;11587743;11431771;2;KU;47;M; ;0;ei henkilövahinkoa;SF ;ABC         ;
6651839;11587961;11431776;1;KU;46;M; ;0;ei henkilövahinkoa;VN ;AB          ;26
6651839;11587962;11431777;2;KU;42;N; ;0;ei henkilövahinkoa;SF ;AB          ;25
6656056;11587963;11431778;1;KU;18;M;X;0;ei henkilövahinkoa;SF ;B           ;
6656056;11587964;11431779;2;KU;51;M; ;0;ei henkilövahinkoa;SF ;BCD1        ;12
6656057;11587965;11431780;1;KU;19;M; ;0;ei henkilövahinkoa;SF ;B           ;1
7160448;12468514;12574418;1;KU;26;M; ;0;ei henkilövahinkoa;SF ;ABC         ;8
7160448;12468515;12574417;2;KU;74;M; ;0;ei henkilövahinkoa;SF ;ABE         ;48
6660811;11587974;11431789;1;KU;47;M; ;0;ei henkilövahinkoa;EV ;BC          ;21
6660811;11587975;11431790;2;KU;19;M; ;0;ei henkilövahinkoa;SF ;BECE        ;
6660812;11587976;11431791;1;KU;46;M; ;0;ei henkilövahinkoa;SF ;AB          ;29
6660812;11587977;11431792;2;JK;44;N; ;L;loukkaantunut;   ;            ;
6660813;11587978;11431793;1;KU;39;M; ;0;ei henkilövahinkoa;SF ;BC          ;22
6660813;11587979;11431794;2;KU;33;M;X;0;ei henkilövahinkoa;SF ;B           ;15
6660814;11587982;11431797;1;KU;28;M; ;0;ei henkilövahinkoa;IRQ;B           ;
6685639;11587983;11431798;1;KU;25;M; ;0;ei henkilövahinkoa;SF ;ABC         ;7
6685639;11587984;11431799;2;JK;48;M; ;L;loukkaantunut;   ;            ;
6620646;11587985;11431800;1;KU;57;M; ;0;ei henkilövahinkoa;SF ;ABECE       ;39
6620646;11587986;11431801;2;KU;29;M; ;L;loukkaantunut;   ;            ;
6651846;11587991;11431806;1;KU;50;M; ;0;ei henkilövahinkoa;SF ;            ;29
6651846;11587992;11431807;2;KU;66;M; ;0;ei henkilövahinkoa;SF ;            ;44
6660815;11587993;11431808;1;KU;46;M; ;0;ei henkilövahinkoa;SF ;ABECEDE     ;29
6660815;11587994;11431809;2;KU;24;M; ;L;loukkaantunut;SF ;B           ;6
6664131;11587995;11431810;1;KU;23;M; ;0;ei henkilövahinkoa;SF ;B           ;5
6664131;11587996;11431811;2;KU;24;M; ;0;ei henkilövahinkoa;SF ;B           ;5
6611963;11587997;11431812;1;KU;43;M; ;0;ei henkilövahinkoa;SF ;            ;18
6611963;11587998;11431813;2;KU;38;M; ;0;ei henkilövahinkoa;SF ;            ;18
6620647;11587999;11431814;1;XX;; ; ;-;NA;   ;            ;
6651498;11588008;11432092;1;KU;34;N; ;0;ei henkilövahinkoa;SF ;B           ;12
6651497;11588009;11432093;1;KU;34;M; ;0;ei henkilövahinkoa;SO ;B           ;3
6660799;11588014;11432098;1;KU;55;M; ;0;ei henkilövahinkoa;SF ;            ;
6660799;11588015;11432099;2;KU;45;M; ;0;ei henkilövahinkoa;SF ;ABECEDE     ;24
6685620;11588016;11432100;1;KU;71;M; ;0;ei henkilövahinkoa;SF ;AB          ;41
6685621;11588017;11432101;1;XX;; ; ;-;NA;   ;            ;
