Onnett_id;Osall_id;Osnro;Oslaji;Oslajisel;Peräv;Perävsel;Ajolaji;Ajolajisel;Kuollut;Loukk;Ajoneuvika;Ajoneuvmas
6660716;11595735;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;11;1425
6655924;11595737;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;2;1224
6655924;11595738;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;8;1235
6688534;11595744;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;9;1820
6688534;11595745;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;2;1355
6685673;11595746;1;33;linja-auto;-1;Ei arvoa;1;ammattimaisessa ajossa;0;0;1;14650
6685673;11595747;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;7;1617
6711693;11595748;1;31;pakettiauto;-1;Ei arvoa;-1;Ei arvoa;0;0;11;1950
6711693;11595749;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;0;1352
6685674;11595750;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;15;1194
6685674;11595751;2;10;jalankulkija;-1;Ei arvoa;-1;Ei arvoa;0;1;;
6651493;11595754;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;7;1692
6651493;11595755;2;10;jalankulkija;-1;Ei arvoa;-1;Ei arvoa;0;1;;
6655925;11595756;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;;;;
6655925;11595757;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;;;;
6655925;11595758;3;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;;;;
6629502;11595762;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;1;2;1615
6629502;11595763;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;4;0;1465
6629502;11595764;3;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;1;7;1275
6621831;11595765;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;11;1435
6621831;11595766;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;1;1635
6629671;11595767;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;16;1166
6578085;11591283;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;0;1307
6578085;11591284;2;31;pakettiauto;-1;Ei arvoa;-1;Ei arvoa;;;;
6660694;11591287;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;2;1337
6660694;11591288;2;11;polkupyöräilijä;-1;Ei arvoa;-1;Ei arvoa;0;1;;
6586177;11591289;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;3;1347
6586177;11591290;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;7;1065
6586242;11591291;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;8;1095
6586242;11591292;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;6;1074
6518504;11591294;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;6;1361
6518504;11591295;2;31;pakettiauto;-1;Ei arvoa;-1;Ei arvoa;0;0;8;1980
6660695;11591296;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;;;;
6660695;11591297;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;;;;
6494521;11591299;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;;;;
6494521;11591300;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;;;;
6660697;11591306;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;;;;
6660697;11591307;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;;;;
6485199;11591316;1;30;henkilöauto;-1;Ei arvoa;1;ammattimaisessa ajossa;0;0;0;1705
6485199;11591317;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;8;2270
6575513;11591318;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;;;;
6481034;11591326;1;30;henkilöauto;-1;Ei arvoa;1;ammattimaisessa ajossa;0;0;0;1845
6518497;11591327;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;;;;
6485705;11591328;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;;
6485705;11591329;2;32;kuorma-auto;-1;Ei arvoa;-1;Ei arvoa;0;0;;
6520847;11591334;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;0;1200
6520847;11591335;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;11;1040
6469145;11591336;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;;;;
6469145;11591337;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;18;1200
6575514;11591343;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;8;1542
6575514;11591344;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;15;1355
6578069;11591345;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;;;;
6575515;11591348;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;1;1229
6575515;11591349;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;11;970
6494517;11591350;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;1;1735
6494517;11591351;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;3;1234
6575496;11591352;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;16;1497
6575496;11591353;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;;
6621800;11587108;2;10;jalankulkija;-1;Ei arvoa;-1;Ei arvoa;0;1;;
6621800;11591354;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;2;1845
6629588;11587119;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;2;1675
6629588;11587120;2;31;pakettiauto;-1;Ei arvoa;-1;Ei arvoa;0;0;10;1960
6611818;11587125;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;16;1390
6611818;11587126;2;31;pakettiauto;-1;Ei arvoa;-1;Ei arvoa;0;0;1;1615
6621801;11587127;1;11;polkupyöräilijä;-1;Ei arvoa;-1;Ei arvoa;0;0;;
6621801;11587128;2;10;jalankulkija;-1;Ei arvoa;-1;Ei arvoa;0;1;;
6621802;11587133;1;32;kuorma-auto;-1;Ei arvoa;1;ammattimaisessa ajossa;0;0;5;3800
6621802;11587134;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;;;;
6621802;11587135;3;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;;;;
6621803;11587138;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;1;1502
6621803;11587139;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;10;1536
6621803;11587140;3;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;0;1084
6680402;11587141;1;32;kuorma-auto;-1;Ei arvoa;-1;Ei arvoa;0;0;8;13600
6680402;11587142;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;8;1511
6655994;11587143;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;7;1397
6629800;11587144;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;13;1725
6629800;11587145;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;9;2185
6629800;11587146;3;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;0;2015
6688571;11587147;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;;;;
6688571;11587148;2;31;pakettiauto;-1;Ei arvoa;-1;Ei arvoa;;;;
6626252;11587151;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;11;1505
6626252;11587152;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;0;1275
6611890;11587157;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;1;1;0;1360
6633304;11587158;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;9;1275
6633304;11587159;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;11;1393
6633304;11587160;3;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;2;1320
6575505;11587162;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;9;1510
